state,county_fips,place_id,name,year_dis,referendum,votesyes,voteno,threshold,pop_dis,year_nextpres
AK,2280,260310,Petersburg CDP,2014,FALSE,0,0,0.5,NA,2016
AR,5059,543430,Magnet Cove CDP,2015,FALSE,0,0,0.5,NA,2016
FL,12109,1229100,Hastings CDP,2019,TRUE,136,29,0.5,600,2020
IL,17007,1728612,Garden Prairie CDP,2013,TRUE,57,46,0.5,300,2016
IL,17199,1781165,Whiteash CDP,2015,TRUE,57,18,0.5,250,2016
IN,18175,1825720,Fredericksburg CDP,2014,FALSE,0,0,0.5,NA,2016
IA,19105,1912225,Center Junction CDP,2016,TRUE,33,7,0.5,100,2016
IA,19159,1919810,Delphos CDP,2020,FALSE,0,0,0.5,NA,2020
IA,19177,1954750,Mount Sterling CDP,2013,FALSE,NA,NA,0.5,44,2016
IA,19087,1954795,Mount Union CDP,2018,TRUE,32,31,0.5,98,2020
KS,20001,2046500,Mildred CDP,2020,TRUE,3,1,0.5,28,2020
KY,21219,2101000,Allensville CDP,2018,FALSE,0,0,0.5,NA,2020
KY,21095,2180310,Wallins Creek CDP,2017,FALSE,0,0,0.5,NA,2020
KY,21083,2180832,Water Valley CDP,2017,FALSE,0,0,0.5,NA,2020
MO,29001,2909802,Burgess CDP,2018,FALSE,0,0,0.6,NA,2020
MO,29029,2914914,Climax Springs CDP,2016,TRUE,28,6,0.6,124,2016
MO,29031,2920566,Dutchtown CDP,2019,FALSE,0,0,0.6,50,2020
MO,29157,2943346,Lithium CDP,2018,FALSE,0,0,0.6,0,2020
MO,29189,2945110,Mackenzie village,2018,TRUE,18,15,0.6,134,2020
MO,29029,2945218,Macks Creek CDP,2013,TRUE,63,28,0.6,244,2016
MO,21947,2960410,Quitman CDP,2018,FALSE,0,0,0.6,40,2020
MO,29177,2960824,Rayville CDP,2014,FALSE,0,0,0.6,NA,2016
MO,29189,2964370,St. George CDP,2011,TRUE,345,128,0.6,1337,2012
MO,29189,2975238,Uplands Park village,2013,TRUE,73,70,0.6,445,2016
MO,29017,2981430,Zalma CDP,2017,FALSE,0,0,0.6,0,2020
MT,30085,3010000,Brockton CDP,2019,FALSE,0,0,0.5,NA,2020
NE,31171,3144385,Seneca CDP,2014,TRUE,17,16,0.5,33,2016
NY,36075,3601550,Altmar CDP,2016,TRUE,80,74,0.5,350,2016
NY,36065,3604528,Barneveld CDP,2018,TRUE,54,12,0.5,281,2020
NY,36105,3606959,Bloomingburg village,2014,TRUE,85,107,0.5,700,2016
NY,36107,3607167,Spencer village,2020,TRUE,21,198,0.5,2979,2020
NY,36065,3608169,Bridgewater CDP,2015,TRUE,40,8,0.5,570,2016
NY,36055,3608466,Brockport village,2010,TRUE,662,959,0.5,8366,2012
NY,36055,3608466,Brockport village,2016,TRUE,640,820,0.5,8163,2016
NY,36067,3611902,Camillus village,2011,TRUE,158,229,0.5,1213,2012
NY,36107,3612210,Candor village,2011,TRUE,70,165,0.5,851,2012
NY,36019,3613739,Champlain village,2013,TRUE,59,199,0.5,1101,2016
NY,36045,3614036,Chaumont village,2011,TRUE,102,145,0.5,624,2012
NY,36045,3614036,Chaumont village,2020,TRUE,119,136,0.5,578,2024
NY,36013,3615187,Cherry Creek CDP,2020,TRUE,70,32,0.5,440,2020
NY,36091,3618212,Corinth village,2012,TRUE,209,338,0.5,2559,2012
NY,36003,3619356,Cuba village,2010,TRUE,43,402,0.5,3243,2012
NY,36029,3620313,Depew village,2016,TRUE,1165,3006,0.5,15303,2016
NY,36009,3622843,East Randolph CDP,2013,TRUE,57,11,0.5,629,2016
NY,36089,3623635,Edwards CDP,2011,TRUE,55,9,0.5,438,2012
NY,36029,3625428,Farnham village,2010,TRUE,30,130,0.5,371,2012
NY,36025,3626209,Fleischmanns village,2019,TRUE,46,70,0.5,310,2020
