"","USPS","GEOID","ANSICODE","NAME","LSAD","FUNCSTAT","ALAND","AWATER","ALAND_SQMI","AWATER_SQMI","INTPTLAT","INTPTLONG","year","before_LSAD","change","disinc","disinc_dummy"
"1","AK",260310,2761697,"Petersburg CDP","57","S",114311173,3884326,44.136,1.5,56.754283,-132.873808,2014,"25",TRUE,TRUE,1
"2","AR",543430,2747298,"Magnet Cove CDP","57","S",5344264,7955,2.063,0.003,34.449161,-92.837719,2015,"43",TRUE,TRUE,1
"3","FL",1229100,2797201,"Hastings CDP","57","S",8390242,8240,3.239,0.003,29.71439,-81.499154,2019,"43",TRUE,TRUE,1
"4","IL",1781165,2771129,"Whiteash CDP","57","S",2267325,65870,0.875,0.025,37.783843,-88.930823,2015,"47",TRUE,TRUE,1
"5","IN",1825720,2761658,"Fredericksburg CDP","57","S",2784729,49522,1.075,0.019,38.435541,-86.196183,2014,"43",TRUE,TRUE,1
"6","IA",1912225,2783850,"Center Junction CDP","57","S",1901746,0,0.734,0,42.114127,-91.09034,2016,"25",TRUE,TRUE,1
"7","IA",1919810,2804460,"Delphos CDP","57","S",576330,1486,0.223,0.001,40.663177,-94.339571,2020,"25",TRUE,TRUE,1
"8","IA",1954795,2790739,"Mount Union CDP","57","S",437429,0,0.169,0,41.057704,-91.391398,2018,"25",TRUE,TRUE,1
"9","KS",2046500,2804709,"Mildred CDP","57","S",1766647,14449,0.682,0.006,38.024205,-95.172299,2020,"25",TRUE,TRUE,1
"10","KY",2101000,2790839,"Allensville CDP","57","S",2960983,7925,1.143,0.003,36.717052,-87.068647,2018,"25",TRUE,TRUE,1
"11","KY",2180310,2785008,"Wallins Creek CDP","57","S",1373799,68292,0.53,0.026,36.830014,-83.417533,2017,"25",TRUE,TRUE,1
"12","KY",2180832,2786573,"Water Valley CDP","57","S",1382308,1757,0.534,0.001,36.568276,-88.810732,2017,"25",TRUE,TRUE,1
"13","MO",2909802,2787934,"Burgess CDP","57","S",288860,214,0.112,0,37.556935,-94.615514,2018,"43",TRUE,TRUE,1
"14","MO",2914914,2784076,"Climax Springs CDP","57","S",2088908,0,0.807,0,38.100402,-93.052807,2016,"47",TRUE,TRUE,1
"15","MO",2920566,2791524,"Dutchtown CDP","57","S",4608298,0,1.779,0,37.259804,-89.64651,2019,"47",TRUE,TRUE,1
"16","MO",2943346,2787908,"Lithium CDP","57","S",1993739,19148,0.77,0.007,37.831844,-89.88325,2018,"47",TRUE,TRUE,1
"17","MO",2960410,2787909,"Quitman CDP","57","S",406375,0,0.157,0,40.373304,-95.076957,2018,"43",TRUE,TRUE,1
"18","MO",2981430,2786553,"Zalma CDP","57","S",534802,3983,0.206,0.002,37.142766,-90.081661,2017,"47",TRUE,TRUE,1
