"","X","USPS","GEOID","ANSICODE","NAME","LSAD","year","before_LSAD","change","disinc"
"1",59851,"AK",260310,2761697,"Petersburg CDP","57",2014,"25",TRUE,TRUE
"2",90279,"AR",543430,2747298,"Magnet Cove CDP","57",2015,"43",TRUE,TRUE
"3",211316,"FL",1229100,2797201,"Hastings CDP","57",2019,"43",TRUE,TRUE
"4",36009,"IL",1728612,2675242,"Garden Prairie CDP","57",2013,"47",TRUE,TRUE
"5",95953,"IL",1781165,2771129,"Whiteash CDP","57",2015,"47",TRUE,TRUE
"6",66639,"IN",1825720,2761658,"Fredericksburg CDP","57",2014,"43",TRUE,TRUE
"7",126396,"IA",1912225,2783850,"Center Junction CDP","57",2016,"25",TRUE,TRUE
"8",245310,"IA",1919810,2804460,"Delphos CDP","57",2020,"25",TRUE,TRUE
"9",38241,"IA",1954750,2746618,"Mount Sterling CDP","57",2013,"25",TRUE,TRUE
"10",186034,"IA",1954795,2790739,"Mount Union CDP","57",2018,"25",TRUE,TRUE
"11",246538,"KS",2046500,2804709,"Mildred CDP","57",2020,"25",TRUE,TRUE
"12",187085,"KY",2101000,2790839,"Allensville CDP","57",2018,"25",TRUE,TRUE
"13",158005,"KY",2180310,2785008,"Wallins Creek CDP","57",2017,"25",TRUE,TRUE
"14",158009,"KY",2180832,2786573,"Water Valley CDP","57",2017,"25",TRUE,TRUE
"15",191077,"MO",2909802,2787934,"Burgess CDP","57",2018,"43",TRUE,TRUE
"16",131994,"MO",2914914,2784076,"Climax Springs CDP","57",2016,"47",TRUE,TRUE
"17",220792,"MO",2920566,2791524,"Dutchtown CDP","57",2019,"47",TRUE,TRUE
"18",191511,"MO",2943346,2787908,"Lithium CDP","57",2018,"47",TRUE,TRUE
"19",43725,"MO",2945218,2747208,"Macks Creek CDP","57",2013,"25",TRUE,TRUE
"20",191730,"MO",2960410,2787909,"Quitman CDP","57",2018,"43",TRUE,TRUE
"21",73454,"MO",2960824,2761657,"Rayville CDP","57",2014,"47",TRUE,TRUE
"22",191787,"MO",2964370,2791159,"St. George CDP","57",2018,"25",TRUE,TRUE
"23",162402,"MO",2981430,2786553,"Zalma CDP","57",2017,"47",TRUE,TRUE
"24",221599,"MT",3010000,2803713,"Brockton CDP","57",2019,"43",TRUE,TRUE
"25",133660,"NE",3144385,2784110,"Seneca CDP","57",2016,"47",TRUE,TRUE
"26",135005,"NY",3601550,2772072,"Altmar CDP","57",2016,"47",TRUE,TRUE
"27",194197,"NY",3604528,2791520,"Barneveld CDP","57",2018,"47",TRUE,TRUE
"28",105522,"NY",3608169,2771601,"Bridgewater CDP","57",2015,"47",TRUE,TRUE
"29",254725,"NY",3615187,2804867,"Cherry Creek CDP","57",2020,"47",TRUE,TRUE
"30",46620,"NY",3622843,2746454,"East Randolph CDP","57",2013,"47",TRUE,TRUE
"31",76157,"NY",3623635,2761297,"Edwards CDP","57",2014,"47",TRUE,TRUE
"32",164908,"NY",3626649,2785014,"Forestville CDP","57",2017,"47",TRUE,TRUE
"33",194596,"NY",3634165,2786716,"Hermon CDP","57",2018,"47",TRUE,TRUE
"34",194598,"NY",3634220,2787903,"Herrings CDP","57",2018,"47",TRUE,TRUE
"35",165084,"NY",3639089,2772073,"Keeseville CDP","57",2017,"47",TRUE,TRUE
"36",46894,"NY",3642378,2678893,"Limestone CDP","57",2013,"47",TRUE,TRUE
"37",135581,"NY",3643962,2784107,"Lyons CDP","57",2016,"47",TRUE,TRUE
"38",194734,"NY",3644149,2791459,"Macedon CDP","57",2018,"47",TRUE,TRUE
"39",194762,"NY",3646085,2390131,"Mastic Beach CDP","57",2018,"47",TRUE,TRUE
"40",47141,"NY",3657287,2745368,"Perrysburg CDP","57",2013,"47",TRUE,TRUE
"41",194990,"NY",3659333,2786718,"Port Henry CDP","57",2018,"47",TRUE,TRUE
"42",135853,"NY",3659883,2784077,"Prospect CDP","57",2016,"47",TRUE,TRUE
"43",76727,"NY",3660576,2746455,"Randolph CDP","57",2014,"47",TRUE,TRUE
"44",165493,"NY",3664771,2785015,"Salem CDP","57",2017,"47",TRUE,TRUE
"45",47290,"NY",3666322,2746310,"Seneca Falls CDP","57",2013,"47",TRUE,TRUE
"46",255703,"NY",3676881,2804710,"Van Etten CDP","57",2020,"47",TRUE,TRUE
"47",195450,"NC",3711560,2791522,"Centerville CDP","57",2018,"43",TRUE,TRUE
"48",288536,"ND",3804740,2829872,"Bantry CDP","57",2021,"25",TRUE,TRUE
"49",257027,"OH",3901742,2805373,"Amelia CDP","57",2020,"47",TRUE,TRUE
"50",226166,"OH",3908168,99999998,"Brady Lake CDP","57",2019,"47",TRUE,TRUE
"51",167089,"OH",3913834,2785006,"Cherry Fork CDP","57",2017,"47",TRUE,TRUE
"52",49013,"OH",3927944,2745893,"Fort Shawnee CDP","57",2013,"47",TRUE,TRUE
"53",257601,"OH",3943596,2804868,"Limaville CDP","57",2020,"47",TRUE,TRUE
"54",108574,"OH",3958800,2771741,"Orient CDP","57",2015,"47",TRUE,TRUE
"55",49610,"OH",3969666,2725568,"St. Martin CDP","57",2013,"47",TRUE,TRUE
"56",167864,"OH",3970072,2785007,"Salesville CDP","57",2017,"47",TRUE,TRUE
"57",167907,"OH",3972998,2785016,"Somerville CDP","57",2017,"47",TRUE,TRUE
"58",167992,"OH",3978848,2785017,"Uniopolis CDP","57",2017,"47",TRUE,TRUE
"59",198511,"OR",4117800,2787907,"Damascus CDP","57",2018,"25",TRUE,TRUE
"60",170736,"PA",4274744,2785019,"Strausstown CDP","57",2017,"21",TRUE,TRUE
"61",83009,"SD",4656420,2761337,"Roswell CDP","57",2014,"43",TRUE,TRUE
"62",53744,"TN",4737360,2675244,"Iron City CDP","57",2013,"25",TRUE,TRUE
"63",296741,"UT",4911435,2829873,"Cedar Highlands CDP","57",2021,"43",TRUE,TRUE
"64",203783,"UT",4956750,2787910,"Ophir CDP","57",2018,"43",TRUE,TRUE
"65",56072,"VT",5011050,2729388,"Cabot CDP","57",2013,"47",TRUE,TRUE
"66",115239,"VT",5050200,2765037,"Northfield CDP","57",2015,"47",TRUE,TRUE
"67",56127,"VT",5052375,2712439,"North Westminster CDP","57",2013,"47",TRUE,TRUE
"68",233578,"VT",5076900,2803714,"Waterbury CDP","57",2019,"47",TRUE,TRUE
"69",174572,"VA",5118624,2785018,"Columbia CDP","57",2017,"43",TRUE,TRUE
