"","USPS","GEOID","ANSICODE","NAME","LSAD","FUNCSTAT","ALAND","AWATER","ALAND_SQMI","AWATER_SQMI","INTPTLAT","INTPTLONG","year"
"282","AL",139088,2628595,"Joppa CDP","57","S",5036126,70366,1.944,0.027,34.299359,-86.5499,2010
"357","AL",151468,2582688,"Morrison Crossroads CDP","57","S",13444307,191484,5.191,0.074,33.417996,-85.488284,2010
"722","AK",236550,2419402,"Kachemak city","25","A",4251011,0,1.641,0,59.674154,-151.437368,2010
"1084","AZ",428120,2408303,"Gold Canyon CDP","57","S",57994005,0,22.392,0,33.371483,-111.436942,2010
"1128","AZ",438940,2582811,"Ko Vaya CDP","57","S",2848387,0,1.1,0,32.081502,-111.895875,2010
"1169","AZ",447740,2582829,"Morristown CDP","57","S",2088910,1737,0.807,0.001,33.855876,-112.612858,2010
"1227","AZ",459770,2582850,"Red Rock CDP","57","S",122516890,9515,47.304,0.004,32.561182,-111.374004,2010
"1311","AZ",473480,2582876,"Theba CDP","57","S",1610093,0,0.622,0,32.918231,-112.889776,2010
"1356","AZ",482155,2409579,"Whetstone CDP","57","S",30832988,2278,11.905,0.001,31.702589,-110.336365,2010
"1362","AZ",482660,2582904,"Why CDP","57","S",23195011,0,8.956,0,32.258973,-112.730634,2010
"1619","AR",532535,2582916,"Hiwasse CDP","57","S",12800382,1806,4.942,0.001,36.423158,-94.327383,2010
"2115","CA",610031,2582958,"Calwa CDP","57","S",1617187,0,0.624,0,36.71373,-119.761239,2010
"2245","CA",617204,2629130,"Crestmore Heights CDP","57","S",744931,0,0.288,0,34.02997,-117.395812,2010
"2320","CA",620746,2408710,"East La Mirada CDP","57","S",2824327,0,1.09,0,33.924373,-117.988726,2010
"2448","CA",629644,2408298,"Glen Avon CDP","57","S",20975719,90084,8.099,0.035,34.016925,-117.48286,2010
"2800","CA",647976,2408838,"Mira Loma CDP","57","S",20711682,394935,7.997,0.152,33.986376,-117.521124,2010
"2915","CA",653924,2408992,"Pleasure Point CDP","57","S",1949091,3266657,0.753,1.261,36.959718,-121.970036,2010
"2959","CA",656350,2409048,"Pedley CDP","57","S",13154574,95701,5.079,0.037,33.978961,-117.472374,2010
"3091","CA",663260,2409222,"Rubidoux CDP","57","S",25017145,740030,9.659,0.286,33.993207,-117.41815,2010
"3257","CA",676022,2410031,"Sunnyslope CDP","57","S",3816501,0,1.474,0,34.020263,-117.425427,2010
"3261","CA",677126,2583156,"Sunset Beach CDP","57","S",498493,12733,0.192,0.005,33.71765,-118.072585,2010
"3282","CA",678134,2629134,"Temescal Valley CDP","57","S",49992807,92242,19.302,0.036,33.758004,-117.467162,2010
"3357","CA",682814,2409516,"Vincent CDP","57","S",3808692,0,1.471,0,34.098245,-117.923795,2010
"3365","CA",683215,2409521,"Contra Costa Centre CDP","57","S",1661729,0,0.642,0,37.926013,-122.054019,2010
"3409","CA",685206,2583184,"Whitewater CDP","57","S",25569328,0,9.872,0,33.935596,-116.687208,2010
"3512","CO",812390,2500981,"Castle Pines North city","25","A",23341601,0,9.012,0,39.462963,-104.869877,2010
"3782","CO",858758,2583279,"Phippsburg CDP","57","S",3071952,0,1.186,0,40.230139,-106.950796,2010
"3885","CO",882905,2583314,"Watkins CDP","57","S",70172718,215,27.094,0,39.703135,-104.576753,2010
"3965","CT",945595,2633319,"Mashantucket CDP","57","S",6614243,0,2.554,0,41.464468,-71.974755,2010
"4560","FL",1239056,2628524,"Lakewood Gardens CDP","57","S",490903,0,0.19,0,26.621953,-80.102156,2010
"4713","FL",1251505,2583372,"Ona CDP","57","S",69200350,0,26.718,0,27.482963,-81.909728,2010
"5451","GA",1356000,2403342,"North Atlanta CDP","57","S",19776005,210572,7.636,0.081,33.862891,-84.333187,2010
"5879","ID",1624940,2585570,"Elk City CDP","57","S",6491359,9577,2.506,0.004,45.82165,-115.4368,2010
"5978","ID",1660890,2611709,"Parkline CDP","57","S",1280411,0,0.494,0,47.338482,-116.693979,2010
"6033","ID",1683260,2585595,"Tyhee CDP","57","S",7436931,19214,2.871,0.007,42.953824,-112.456206,2010
"7691","IN",1836144,2393062,"Indian Heights CDP","57","S",2153861,0,0.832,0,40.424628,-86.117677,2010
"9709","KS",2071350,2397048,"Treece city","25","A",199836,0,0.077,0,37.000485,-94.843693,2010
"9908","KY",2123000,2629605,"Dunmor CDP","57","S",6723443,35674,2.596,0.014,37.07526,-86.995328,2010
"9919","KY",2124346,2628566,"Elk Creek CDP","57","S",14994398,158523,5.789,0.061,38.115191,-85.37163,2010
"9952","KY",2128630,2465547,"Foster city","25","I",252821,0,0.098,0,38.800113,-84.213217,2010
"10089","KY",2151060,2629650,"Maytown CDP","57","S",1478146,0,0.571,0,37.53269,-82.799156,2010
"10940","MD",2406615,2389203,"Bensville CDP","57","S",43756671,2825,16.895,0.001,38.61355,-77.004138,2010
"11052","MD",2424062,2389422,"Dunkirk CDP","57","S",17057562,1939408,6.586,0.749,38.718619,-76.674501,2010
"11152","MD",2441037,2389962,"Huntingtown CDP","57","S",20904503,64772,8.071,0.025,38.61235,-76.62154,2010
"11222","MD",2451860,2583655,"Melwood CDP","57","S",7305197,13198,2.821,0.005,38.801893,-76.841624,2010
"11341","MD",2470530,2583685,"Scaggsville CDP","57","S",26641804,952905,10.286,0.368,39.136148,-76.869185,2010
"11712","MI",2606190,2583718,"Bay Shore CDP","57","S",4188900,1568,1.617,0.001,45.36082,-85.11155,2010
"13158","MN",2764426,2396040,"Tenney city","25","A",54696,0,0.021,0,46.044413,-96.454014,2010
"14415","MO",2960824,2399051,"Rayville village","47","A",639313,0,0.247,0,39.347766,-94.064731,2010
"14464","MO",2964370,2396490,"St. George city","25","A",484559,0,0.187,0,38.537184,-90.313204,2010
"14500","MO",2967880,2399822,"Silver Creek village","47","A",2070115,11530,0.799,0.004,37.038717,-94.469492,2010
"14546","MO",2972780,2587116,"Terre du Lac CDP","57","S",16793853,1215750,6.484,0.469,37.903026,-90.617162,2010
"14793","MT",3031250,2583812,"South Glastonbury CDP","57","S",45533555,869558,17.581,0.336,45.3114,-110.806464,2010
"14845","MT",3041087,2408495,"Knife River CDP","57","S",8674632,0,3.349,0,47.454046,-104.349298,2010
"15293","NE",3124055,2583883,"Inland CDP","57","S",438659,0,0.169,0,40.595358,-98.223235,2010
"15722","NV",3281245,2583963,"Walker Lake CDP","57","S",3531126,0,1.363,0,38.646728,-118.757202,2010
"15984","NJ",3423880,2389090,"Florence CDP","57","S",3270287,586866,1.263,0.227,40.11916,-74.808773,2010
"16037","NJ",3431405,2389926,"Highland Lake CDP","57","S",13133543,2663496,5.071,1.028,41.174024,-74.455183,2010
"16085","NJ",3439920,2390053,"Leisure Village West CDP","57","S",3133187,30943,1.21,0.012,40.010227,-74.281723,2010
"16354","NJ",3480855,2390509,"Whitesboro CDP","57","S",9359542,46799,3.614,0.018,39.042252,-74.868134,2010
"16422","NM",3512008,2584067,"Gallina CDP","57","S",11667796,9279,4.505,0.004,36.230062,-106.808615,2010
"16884","NY",3605193,2389188,"Beaver Dam Lake CDP","57","S",4692493,771373,1.812,0.298,41.44707,-74.115875,2010
"17115","NY",3623635,2391658,"Edwards village","47","A",2522910,29395,0.974,0.011,44.320076,-75.249331,2010
"17356","NY",3640648,2584271,"Lake Luzerne CDP","57","S",6496396,955476,2.508,0.369,43.324809,-73.837711,2010
"17530","NY",3651275,2389554,"Niskayuna CDP","57","S",2609699,0,1.008,0,42.816948,-73.897735,2010
"17682","NY",3660411,2389720,"Quiogue CDP","57","S",3257995,1114924,1.258,0.43,40.819696,-72.62815,2010
"17684","NY",3660576,2391086,"Randolph village","47","A",8419704,27618,3.251,0.011,42.16229,-78.97969,2010
"18309","NC",3731660,2584320,"Hillsdale CDP","57","S",3360195,188147,1.297,0.073,36.01143,-80.433191,2010
"20268","OH",3981942,2397230,"Waverly City city","25","A",10880916,148365,4.201,0.057,39.126185,-82.983389,2010
"20727","OK",4042855,2584384,"Liberty CDP","57","S",6002470,17540,2.318,0.007,35.460861,-94.545749,2010
"20930","OK",4066540,2413273,"Shady Grove town","43","A",43844,0,0.017,0,36.18972,-96.287929,2010
"21240","OR",4137200,2611736,"Jeffers Gardens CDP","57","S",1464129,0,0.565,0,46.151755,-123.852082,2010
"21307","OR",4151500,2611769,"Neahkahnie CDP","57","S",1691348,0,0.653,0,45.732341,-123.939798,2010
