USPS	GEOID	ANSICODE	NAME	LSAD	FUNCSTAT	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                 
NE	3100205	02397906	Abie village	47	A	240736	0	0.093	0.	41.334104	-96.949747                                                                                                                            
NE	3100240	02397908	Adams village	47	A	1540031	0	0.595	0.	40.459011	-96.507363                                                                                                                          
NE	3100380	02806910	Agnew CDP	57	S	488027	0	0.188	0.	41.014234	-96.81427                                                                                                                                
NE	3100415	02393893	Ainsworth city	25	A	2600318	0	1.004	0.	42.548439	-99.857522                                                                                                                         
NE	3100555	02393908	Albion city	25	A	2684228	0	1.036	0.	41.687298	-97.998717                                                                                                                            
NE	3100625	02397925	Alda village	47	A	1464062	0	0.565	0.	40.86655	-98.467992                                                                                                                            
NE	3100730	02397928	Alexandria village	47	A	1047532	0	0.404	0.	40.247547	-97.387837                                                                                                                     
NE	3100870	02397934	Allen village	47	A	963930	0	0.372	0.	42.414434	-96.843209                                                                                                                           
NE	3100905	02393923	Alliance city	25	A	12906980	31691	4.983	0.012	42.102553	-102.876885                                                                                                                 
NE	3100975	00837849	Alma city	25	A	2978754	0	1.15	0.	40.103565	-99.365693                                                                                                                               
NE	3101150	02397951	Alvo village	47	A	259100	0	0.1	0.	40.872264	-96.386524                                                                                                                              
NE	3101220	02630666	Ames CDP	57	S	846166	5504	0.327	0.002	41.448457	-96.626339                                                                                                                          
NE	3101290	02397957	Amherst village	47	A	565573	0	0.218	0.	40.838372	-99.269509                                                                                                                         
NE	3101465	02397965	Anoka village	47	A	1451109	0	0.56	0.	42.946	-98.828529                                                                                                                              
NE	3101500	02397966	Anselmo village	47	A	688185	0	0.266	0.	41.618581	-99.864577                                                                                                                         
NE	3101535	02397967	Ansley village	47	A	1859462	0	0.718	0.	41.286338	-99.382547                                                                                                                         
NE	3101780	02393970	Arapahoe city	25	A	2516086	0	0.971	0.	40.305124	-99.897977                                                                                                                          
NE	3101850	02397977	Arcadia village	47	A	1479286	0	0.571	0.	41.424823	-99.126062                                                                                                                        
NE	3101920	02583872	Archer CDP	57	S	2595996	0	1.002	0.	41.166629	-98.138864                                                                                                                             
NE	3101990	02397985	Arlington village	47	A	1549732	0	0.598	0.	41.454855	-96.356527                                                                                                                      
NE	3102095	02397989	Arnold village	47	A	1734538	0	0.67	0.	41.423244	-100.193561                                                                                                                         
NE	3102200	02397994	Arthur village	47	A	803540	0	0.31	0.	41.571866	-101.692263                                                                                                                          
NE	3102305	02394000	Ashland city	25	A	3680079	67712	1.421	0.026	41.039852	-96.37254                                                                                                                     
NE	3102375	02398000	Ashton village	47	A	1533165	0	0.592	0.	41.247748	-98.795147                                                                                                                         
NE	3102480	02583873	Aten CDP	57	S	4401509	0	1.699	0.	42.836736	-97.44081                                                                                                                                
NE	3102550	02394013	Atkinson city	25	A	4237368	0	1.636	0.	42.530868	-98.974728                                                                                                                          
NE	3102620	02398005	Atlanta village	47	A	598862	0	0.231	0.	40.368409	-99.473223                                                                                                                         
NE	3102655	02394026	Auburn city	25	A	5660738	0	2.186	0.	40.389377	-95.843566                                                                                                                            
NE	3102690	02394036	Aurora city	25	A	8391461	20355	3.24	0.008	40.864656	-98.008069                                                                                                                      
NE	3102795	02398012	Avoca village	47	A	338771	0	0.131	0.	40.796505	-96.119161                                                                                                                           
NE	3102830	02398014	Axtell village	47	A	1202122	0	0.464	0.	40.479845	-99.129248                                                                                                                         
NE	3102865	02398015	Ayr village	47	A	627506	0	0.242	0.	40.437809	-98.440943                                                                                                                             
NE	3103005	02398027	Bancroft village	47	A	948354	0	0.366	0.	42.010522	-96.573265                                                                                                                        
NE	3103040	02398030	Barada village	47	A	234688	0	0.091	0.	40.21846	-95.5778                                                                                                                             
NE	3103075	02398033	Barneston village	47	A	632927	3572	0.244	0.001	40.048951	-96.573597                                                                                                                 
NE	3103145	02398042	Bartlett village	47	A	367976	0	0.142	0.	41.883933	-98.552565                                                                                                                        
NE	3103180	02398043	Bartley village	47	A	2428431	0	0.938	0.	40.251122	-100.310428                                                                                                                       
NE	3103215	02394076	Bassett city	25	A	1149327	0	0.444	0.	42.582541	-99.536625                                                                                                                           
NE	3103250	02394082	Battle Creek city	25	A	1827369	0	0.706	0.	41.998119	-97.599465                                                                                                                      
NE	3103285	02394089	Bayard city	25	A	1800706	0	0.695	0.	41.757193	-103.323015                                                                                                                           
NE	3103355	02398054	Bazile Mills village	47	A	1265027	0	0.488	0.	42.512436	-97.908329                                                                                                                   
NE	3103377	02806917	Beacon View CDP	57	S	704381	414732	0.272	0.16	41.071193	-96.326474                                                                                                                  
NE	3103390	00837869	Beatrice city	25	A	24546167	218792	9.477	0.084	40.273281	-96.745954                                                                                                                 
NE	3103495	02394100	Beaver City city	25	A	2562298	0	0.989	0.	40.138332	-99.827615                                                                                                                       
NE	3103530	02398060	Beaver Crossing village	47	A	1697195	15600	0.655	0.006	40.777916	-97.282465                                                                                                         
NE	3103600	02398065	Bee village	47	A	646776	0	0.25	0.	41.00641	-97.058268                                                                                                                               
NE	3103635	02398068	Beemer village	47	A	1085916	0	0.419	0.	41.9299	-96.809167                                                                                                                           
NE	3103775	02398069	Belden village	47	A	385414	0	0.149	0.	42.41172	-97.207407                                                                                                                           
NE	3103810	02398071	Belgrade village	47	A	496625	0	0.192	0.	41.470955	-98.067784                                                                                                                        
NE	3103950	02394120	Bellevue city	25	A	55651597	590079	21.487	0.228	41.154416	-95.943363                                                                                                                
NE	3104020	02398085	Bellwood village	47	A	606925	0	0.234	0.	41.34191	-97.239858                                                                                                                         
NE	3104055	02583874	Belmar CDP	57	S	11868015	0	4.582	0.	41.305457	-101.934626                                                                                                                           
NE	3104160	02398091	Belvidere village	47	A	1241365	0	0.479	0.	40.254635	-97.557706                                                                                                                      
NE	3104195	02398093	Benedict village	47	A	474671	0	0.183	0.	41.006259	-97.607136                                                                                                                        
NE	3104230	02394133	Benkelman city	25	A	3106126	0	1.199	0.	40.046826	-101.540193                                                                                                                        
NE	3104300	02398094	Bennet village	47	A	1349273	0	0.521	0.	40.681753	-96.503952                                                                                                                         
NE	3104405	02394137	Bennington city	25	A	2311662	33090	0.893	0.013	41.367632	-96.161684                                                                                                                 
NE	3104545	02583875	Berea CDP	57	S	3088770	0	1.193	0.	42.212279	-102.982984                                                                                                                             
NE	3104615	02398106	Bertrand village	47	A	1435740	0	0.554	0.	40.526299	-99.632385                                                                                                                       
NE	3104650	02398107	Berwyn village	47	A	661514	0	0.255	0.	41.350852	-99.500611                                                                                                                          
NE	3104895	02398119	Big Springs village	47	A	1147412	0	0.443	0.	41.060902	-102.074466                                                                                                                   
NE	3105140	02398129	Bladen village	47	A	928684	0	0.359	0.	40.323444	-98.59588                                                                                                                           
NE	3105350	02394184	Blair city	25	A	14273055	50164	5.511	0.019	41.541555	-96.135287                                                                                                                     
NE	3105455	00837886	Bloomfield city	25	A	2113854	0	0.816	0.	42.598412	-97.648138                                                                                                                        
NE	3105490	02398140	Bloomington village	47	A	2061870	0	0.796	0.	40.093791	-99.038389                                                                                                                    
NE	3105560	02394202	Blue Hill city	25	A	1899366	0	0.733	0.	40.332917	-98.448377                                                                                                                         
NE	3105630	02394207	Blue Springs city	25	A	1985909	48674	0.767	0.019	40.137192	-96.662835                                                                                                               
NE	3105980	02583876	Bow Valley CDP	57	S	369628	0	0.143	0.	42.715424	-97.252206                                                                                                                          
NE	3106015	02398159	Boys Town village	47	A	2343216	103362	0.905	0.04	41.255981	-96.128438                                                                                                               
NE	3106050	02398166	Bradshaw village	47	A	813870	0	0.314	0.	40.883475	-97.746818                                                                                                                        
NE	3106085	02398167	Brady village	47	A	849816	0	0.328	0.	41.02229	-100.367563                                                                                                                           
NE	3106120	02398169	Brainard village	47	A	803601	0	0.31	0.	41.181699	-97.002257                                                                                                                         
NE	3106260	02397450	Brewster village	47	A	229248	0	0.089	0.	41.938271	-99.864985                                                                                                                        
NE	3106295	02393416	Bridgeport city	25	A	3104005	7047	1.198	0.003	41.664707	-103.097142                                                                                                                 
NE	3106400	02397457	Bristow village	47	A	421037	0	0.163	0.	42.840777	-98.583307                                                                                                                         
NE	3106470	02397461	Broadwater village	47	A	405513	0	0.157	0.	41.597982	-102.852454                                                                                                                     
NE	3106505	02397463	Brock village	47	A	810869	0	0.313	0.	40.480475	-95.960053                                                                                                                           
NE	3106610	00837893	Broken Bow city	25	A	5226141	0	2.018	0.	41.40508	-99.640869                                                                                                                         
NE	3106680	02583877	Brownlee CDP	57	S	275453	0	0.106	0.	42.289207	-100.624178                                                                                                                           
NE	3106750	02397474	Brownville village	47	A	1694801	0	0.654	0.	40.397617	-95.661086                                                                                                                     
NE	3106785	02397475	Brule village	47	A	800399	0	0.309	0.	41.094699	-101.888506                                                                                                                          
NE	3106820	02397476	Bruning village	47	A	737659	0	0.285	0.	40.335748	-97.564738                                                                                                                         
NE	3106855	02397477	Bruno village	47	A	692392	0	0.267	0.	41.28304	-96.960927                                                                                                                            
NE	3106890	02397478	Brunswick village	47	A	1539365	0	0.594	0.	42.337704	-97.971756                                                                                                                      
NE	3107065	02397496	Burchard village	47	A	422731	0	0.163	0.	40.149315	-96.348837                                                                                                                        
NE	3107205	02397504	Burr village	47	A	221835	0	0.086	0.	40.535947	-96.299775                                                                                                                            
NE	3107310	02397508	Burton village	47	A	273218	0	0.105	0.	42.911927	-99.591852                                                                                                                          
NE	3107345	02393477	Burwell city	25	A	2717305	0	1.049	0.	41.780044	-99.134214                                                                                                                           
NE	3107415	02397510	Bushnell village	47	A	591380	0	0.228	0.	41.232729	-103.891125                                                                                                                       
NE	3107485	02397514	Butte village	47	A	1218021	0	0.47	0.	42.91298	-98.847362                                                                                                                            
NE	3107555	02397518	Byron village	47	A	397039	0	0.153	0.	40.004857	-97.768587                                                                                                                           
NE	3107625	02397524	Cairo village	47	A	2467621	0	0.953	0.	41.004672	-98.600677                                                                                                                          
NE	3107660	02397532	Callaway village	47	A	1806776	0	0.698	0.	41.291446	-99.920312                                                                                                                       
NE	3107730	02393508	Cambridge city	25	A	3462843	0	1.337	0.	40.284279	-100.165389                                                                                                                        
NE	3107870	02397543	Campbell village	47	A	1070449	0	0.413	0.	40.296339	-98.731522                                                                                                                       
NE	3107975	02397555	Carleton village	47	A	2365542	0	0.913	0.	40.303323	-97.681584                                                                                                                       
NE	3108010	02397563	Carroll village	47	A	394842	0	0.152	0.	42.275777	-97.190902                                                                                                                         
NE	3108150	02397579	Cedar Bluffs village	47	A	1002230	0	0.387	0.	41.397119	-96.609756                                                                                                                   
NE	3108185	02397580	Cedar Creek village	47	A	1477746	1338058	0.571	0.517	41.045564	-96.101748                                                                                                           
NE	3108220	02397583	Cedar Rapids village	47	A	928282	0	0.358	0.	41.558908	-98.1493                                                                                                                      
NE	3108360	02397587	Center village	47	A	270710	0	0.105	0.	42.608974	-97.876225                                                                                                                          
NE	3108535	00837913	Central City city	25	A	6281977	0	2.425	0.	41.113469	-98.000737                                                                                                                      
NE	3108570	02397593	Ceresco village	47	A	1094972	1804	0.423	0.001	41.057704	-96.645739                                                                                                                  
NE	3108605	02393793	Chadron city	25	A	10105446	0	3.902	0.	42.825976	-103.002478                                                                                                                         
NE	3108640	02393371	Chalco CDP	57	S	7296228	0	2.817	0.	41.181645	-96.135367                                                                                                                             
NE	3108675	02397598	Chambers village	47	A	2635524	0	1.018	0.	42.204733	-98.748606                                                                                                                       
NE	3108745	02583878	Champion CDP	57	S	619616	18812	0.239	0.007	40.470854	-101.744895                                                                                                                    
NE	3108780	02397603	Chapman village	47	A	1156293	0	0.446	0.	41.023278	-98.159385                                                                                                                        
NE	3108885	02393801	Chappell city	25	A	1818714	0	0.702	0.	41.0913	-102.469938                                                                                                                           
NE	3108990	02806911	Cheney CDP	57	S	365903	0	0.141	0.	40.726041	-96.593604                                                                                                                              
NE	3109095	02397616	Chester village	47	A	1516661	0	0.586	0.	40.010215	-97.618092                                                                                                                        
NE	3109165	02397631	Clarks village	47	A	812770	0	0.314	0.	41.216269	-97.839488                                                                                                                          
NE	3109200	02393542	Clarkson city	25	A	2049584	0	0.791	0.	41.723424	-97.12152                                                                                                                           
NE	3109270	02397635	Clatonia village	47	A	717578	0	0.277	0.	40.465369	-96.851208                                                                                                                        
NE	3109375	00837923	Clay Center city	25	A	1893694	0	0.731	0.	40.525471	-98.054996                                                                                                                       
NE	3109445	02397643	Clearwater village	47	A	949474	0	0.367	0.	42.170698	-98.189727                                                                                                                      
NE	3109655	02398583	Clinton village	47	A	242808	0	0.094	0.	42.75972	-102.347883                                                                                                                         
NE	3109760	02398594	Cody village	47	A	2670379	0	1.031	0.	42.937746	-101.248928                                                                                                                          
NE	3109865	02398596	Coleridge village	47	A	1324403	0	0.511	0.	42.506458	-97.202825                                                                                                                      
NE	3110005	02398602	Colon village	47	A	338543	2375	0.131	0.001	41.298119	-96.607335                                                                                                                     
NE	3110110	00837933	Columbus city	25	A	26781691	681584	10.34	0.263	41.436409	-97.356067                                                                                                                 
NE	3110180	02398610	Comstock village	47	A	908054	0	0.351	0.	41.557204	-99.242977                                                                                                                        
NE	3110250	02398613	Concord village	47	A	342415	617	0.132	0.	42.384172	-96.989293                                                                                                                       
NE	3110390	02398621	Cook village	47	A	447696	0	0.173	0.	40.510575	-96.161637                                                                                                                            
NE	3110495	02398627	Cordova village	47	A	644197	0	0.249	0.	40.716373	-97.351602                                                                                                                         
NE	3110600	02398630	Cornlea village	47	A	239498	0	0.092	0.	41.680049	-97.566904                                                                                                                         
NE	3110635	02398631	Cortland village	47	A	680940	0	0.263	0.	40.505935	-96.706111                                                                                                                        
NE	3110740	02398634	Cotesfield village	47	A	1356900	0	0.524	0.	41.357571	-98.633605                                                                                                                     
NE	3110985	02398640	Cowles village	47	A	1440133	0	0.556	0.	40.1714	-98.449019                                                                                                                           
NE	3111020	02393659	Cozad city	25	A	6774974	0	2.616	0.	40.861301	-99.986366                                                                                                                             
NE	3111055	02398641	Crab Orchard village	47	A	411155	0	0.159	0.	40.334652	-96.422437                                                                                                                    
NE	3111090	02398642	Craig village	47	A	737367	0	0.285	0.	41.785262	-96.362433                                                                                                                           
NE	3111195	02393663	Crawford city	25	A	3040606	0	1.174	0.	42.684566	-103.415996                                                                                                                         
NE	3111230	00837947	Creighton city	25	A	3133827	0	1.21	0.	42.464857	-97.907146                                                                                                                          
NE	3111300	02398648	Creston village	47	A	535830	0	0.207	0.	41.707979	-97.362655                                                                                                                         
NE	3111370	02393673	Crete city	25	A	8643289	129080	3.337	0.05	40.625692	-96.957289                                                                                                                      
NE	3111440	00837950	Crofton city	25	A	1656494	0	0.64	0.	42.731613	-97.498608                                                                                                                            
NE	3111475	02398653	Crookston village	47	A	1125995	0	0.435	0.	42.926311	-100.753436                                                                                                                     
NE	3111615	02398657	Culbertson village	47	A	2168408	0	0.837	0.	40.2242	-100.83964                                                                                                                       
NE	3111825	02393700	Curtis city	25	A	3106714	0	1.2	0.	40.633562	-100.511262                                                                                                                             
NE	3111860	02398661	Cushing village	47	A	796837	0	0.308	0.	41.294827	-98.369257                                                                                                                         
NE	3112000	02393706	Dakota City city	25	A	3730575	311531	1.44	0.12	42.418115	-96.420744                                                                                                                 
NE	3112070	02398672	Dalton village	47	A	890832	0	0.344	0.	41.408231	-102.970777                                                                                                                         
NE	3112105	02398677	Danbury village	47	A	838941	0	0.324	0.	40.037706	-100.405108                                                                                                                        
NE	3112140	02398679	Dannebrog village	47	A	944997	0	0.365	0.	41.118605	-98.545735                                                                                                                       
NE	3112245	02398685	Davenport village	47	A	1688701	0	0.652	0.	40.312312	-97.811514                                                                                                                      
NE	3112280	02398686	Davey village	47	A	400084	0	0.154	0.	40.983759	-96.669193                                                                                                                           
NE	3112315	00837956	David City city	25	A	5173456	48240	1.997	0.019	41.257653	-97.127829                                                                                                                 
NE	3112420	02398690	Dawson village	47	A	551700	4094	0.213	0.002	40.130886	-95.830079                                                                                                                    
NE	3112455	02398691	Daykin village	47	A	425019	0	0.164	0.	40.32172	-97.298328                                                                                                                           
NE	3112525	02398700	Decatur village	47	A	2644094	4693	1.021	0.002	42.005886	-96.248312                                                                                                                  
NE	3112770	02398713	Denton village	47	A	316877	0	0.122	0.	40.739248	-96.845973                                                                                                                          
NE	3112840	02394525	Deshler city	25	A	1314769	0	0.508	0.	40.139627	-97.723422                                                                                                                           
NE	3112945	02398718	Deweese village	47	A	325852	0	0.126	0.	40.354731	-98.13916                                                                                                                          
NE	3113015	02398698	De Witt village	47	A	1080961	0	0.417	0.	40.395311	-96.922209                                                                                                                        
NE	3113085	02398725	Diller village	47	A	1084691	2649	0.419	0.001	40.108765	-96.93783                                                                                                                    
NE	3113190	02398730	Dix village	47	A	569344	0	0.22	0.	41.23428	-103.486672                                                                                                                              
NE	3113225	02398732	Dixon village	47	A	392972	0	0.152	0.	42.415408	-96.994833                                                                                                                           
NE	3113295	02398733	Dodge village	47	A	1023157	0	0.395	0.	41.721815	-96.880385                                                                                                                          
NE	3113365	02398736	Doniphan village	47	A	1281605	0	0.495	0.	40.774316	-98.371365                                                                                                                       
NE	3113435	02398741	Dorchester village	47	A	1303355	0	0.503	0.	40.647703	-97.115171                                                                                                                     
NE	3113505	02398742	Douglas village	47	A	568640	0	0.22	0.	40.593182	-96.38823                                                                                                                           
NE	3113750	02398751	Du Bois village	47	A	1176198	0	0.454	0.	40.034538	-96.046672                                                                                                                        
NE	3113855	02398752	Dunbar village	47	A	596287	0	0.23	0.	40.668679	-96.030868                                                                                                                           
NE	3113890	02398753	Duncan village	47	A	1211521	0	0.468	0.	41.390436	-97.492714                                                                                                                         
NE	3113960	02398758	Dunning village	47	A	589538	0	0.228	0.	41.827078	-100.104499                                                                                                                        
NE	3114065	02398765	Dwight village	47	A	624826	0	0.241	0.	41.082747	-97.019096                                                                                                                          
NE	3114100	02398768	Eagle village	47	A	1067996	0	0.412	0.	40.815664	-96.432508                                                                                                                          
NE	3114380	02398783	Eddyville village	47	A	713923	0	0.276	0.	41.012213	-99.623996                                                                                                                       
NE	3114450	02394616	Edgar city	25	A	2045316	0	0.79	0.	40.368263	-97.970973                                                                                                                              
NE	3114520	02398788	Edison village	47	A	974167	0	0.376	0.	40.279237	-99.775808                                                                                                                          
NE	3114555	02398793	Elba village	47	A	949997	0	0.367	0.	41.285311	-98.569262                                                                                                                            
NE	3114730	02394645	Elgin city	25	A	1886370	0	0.728	0.	41.983115	-98.082773                                                                                                                             
NE	3114975	02398802	Elk Creek village	47	A	335815	0	0.13	0.	40.288253	-96.126943                                                                                                                        
NE	3115360	02398813	Elm Creek village	47	A	1801157	0	0.695	0.	40.720084	-99.37559                                                                                                                       
NE	3115430	02398816	Elmwood village	47	A	972312	0	0.375	0.	40.842533	-96.294643                                                                                                                         
NE	3115500	02398820	Elsie village	47	A	447450	0	0.173	0.	40.847168	-101.389155                                                                                                                          
NE	3115570	02398823	Elwood village	47	A	1426455	0	0.551	0.	40.590133	-99.861978                                                                                                                         
NE	3115605	02398824	Elyria village	47	A	689410	0	0.266	0.	41.680064	-99.005316                                                                                                                          
NE	3115675	02806912	Emerald CDP	57	S	1524771	0	0.589	0.	40.81313	-96.835371                                                                                                                             
NE	3115710	02398827	Emerson village	47	A	1226129	484	0.473	0.	42.278205	-96.72629                                                                                                                       
NE	3115815	02398829	Emmet village	47	A	667731	0	0.258	0.	42.475698	-98.809302                                                                                                                           
NE	3115885	02583879	Enders CDP	57	S	339662	0	0.131	0.	40.454919	-101.535567                                                                                                                             
NE	3115920	02398833	Endicott village	47	A	1187340	22458	0.458	0.009	40.082198	-97.095385                                                                                                                
NE	3116025	02398839	Ericson village	47	A	970579	0	0.375	0.	41.780442	-98.678576                                                                                                                         
NE	3116165	02398843	Eustis village	47	A	1095249	0	0.423	0.	40.664527	-100.029551                                                                                                                        
NE	3116270	02398848	Ewing village	47	A	1154218	0	0.446	0.	42.259359	-98.343746                                                                                                                          
